Score, Title, Reviews Count, Link, Release Date
75.83,75.83,Fantastic Dizzy,32,https://segaretro.org/Fantastic_Dizzy,1993-06-01
49.37,49.37,Fastest 1,15,https://segaretro.org/Fastest_1,1991-06-28
75.00,75.00,Fatal Fury,32,https://segaretro.org/Fatal_Fury,1993-02-01
72.49,72.49,Fatal Fury 2,24,https://segaretro.org/Fatal_Fury_2,1994-06-01
56.18,56.18,Fatal Labyrinth,20,https://segaretro.org/Fatal_Labyrinth,1991-04-01
73.11,73.11,Fatal Rewind,35,https://segaretro.org/Fatal_Rewind,1991-10-01
54.55,54.55,Férias Frustradas do Pica-Pau,4,https://segaretro.org/F%C3%A9rias_Frustradas_do_Pica-Pau,
53.82,53.82,Ferrari Grand Prix Challenge,33,https://segaretro.org/Ferrari_Grand_Prix_Challenge,1992-05-15
79.84,79.84,Fever Pitch Soccer,22,https://segaretro.org/Fever_Pitch_Soccer,1995-06-01
79.93,79.93,FIFA 97: Gold Edition,15,https://segaretro.org/FIFA_97:_Gold_Edition,1996-10-01
88.59,88.59,FIFA International Soccer,47,https://segaretro.org/FIFA_International_Soccer,1993-06-01
70.07,70.07,FIFA Road to World Cup 98,2,https://segaretro.org/FIFA_Road_to_World_Cup_98_(Mega_Drive),1997-06-01
87.16,87.16,FIFA Soccer 95,31,https://segaretro.org/FIFA_Soccer_95,1994-10-01
83.08,83.08,FIFA Soccer 96,26,https://segaretro.org/FIFA_Soccer_96_(Mega_Drive),1995-11-01
60.93,60.93,Fighting Masters,26,https://segaretro.org/Fighting_Masters,1991-12-06
60.14,60.14,Final Zone,19,https://segaretro.org/Final_Zone,1990-10-12
52.58,52.58,Fire Mustang,21,https://segaretro.org/Fire_Mustang,1991-05-31
68.55,68.55,Fire Shark,38,https://segaretro.org/Fire_Shark,1990-11-01
90.55,90.55,Flashback,40,https://segaretro.org/Flashback,1993-02-20
59.85,59.85,Flicky,26,https://segaretro.org/Flicky,1991-04-01
48.11,48.11,Foreman for Real,11,https://segaretro.org/Foreman_for_Real,1995-06-01
73.69,73.69,Forgotten Worlds,26,https://segaretro.org/Forgotten_Worlds_(Mega_Drive),1989-11-18
